lon,lat
305.331,-42.0219
305.345,-41.391
305.35,-44.1178
305.361,-43.96
305.367,-41.1867
305.37,-40.6267
305.382,-40.6511
305.407,-39.8196
305.415,-40.1043
305.416,-36.7409
305.44,-40.4369
305.493,-39.5081
305.512,-41.7141
305.514,-41.2459
305.525,-43.9615
305.532,-43.0307
305.539,-42.6278
305.544,-42.3693
305.557,-36.2032
305.566,-41.8905
305.578,-41.5564
305.586,-44.3626
305.593,-42.0062
305.602,-42.3197
305.603,-44.1204
305.609,-42.1335
305.611,-39.7521
305.622,-40.4854
305.64,-43.6901
305.66,-36.0072
305.664,-43.2814
305.672,-42.4088
305.674,-42.5254
305.693,-36.0773
305.702,-42.1908
305.71,-41.6392
305.719,-43.1659
305.722,-43.7213
305.726,-43.8795
305.759,-44.1716
305.76,-37.7574
305.763,-43.5843
305.763,-40.7514
305.796,-39.3801
305.8,-42.6067
305.803,-38.0295
305.811,-43.1964
305.815,-41.2868
305.816,-41.6146
305.841,-44.022
305.843,-43.546
305.849,-42.4505
305.852,-42.033
305.855,-40.6611
305.857,-42.7576
305.878,-39.2218
305.894,-36.0375
305.902,-44.021
305.928,-36.2923
305.972,-43.0587
305.974,-40.4888
305.978,-40.9199
305.986,-42.1003
305.989,-42.3869
305.993,-40.4367
306.005,-40.6121
306.019,-38.4818
306.028,-39.0548
306.031,-35.926
306.057,-43.7223
306.062,-38.7416
306.074,-36.2482
306.088,-38.5324
306.089,-37.7943
306.09,-43.5793
306.09,-37.7554
306.096,-39.85
306.109,-40.9562
306.113,-41.3227
306.116,-42.7897
306.123,-39.7038
306.124,-39.0045
306.13,-43.7174
306.136,-38.6653
306.14,-41.7922
306.151,-42.9588
306.164,-38.8043
306.17,-39.0847
306.176,-40.3509
306.181,-40.0347
306.189,-37.0571
306.203,-39.8008
306.205,-39.529
306.207,-43.6268
306.212,-42.4242
306.214,-41.1765
306.221,-40.7511
306.229,-41.9208
306.246,-39.5735
306.248,-38.5724
306.262,-41.2239
306.264,-39.3687
306.278,-38.7625
306.281,-41.0088
306.29,-42.2954
306.295,-41.3015
306.296,-39.2782
306.306,-39.3672
306.309,-40.6441
306.327,-42.4626
306.35,-40.2182
306.352,-39.1748
306.36,-41.7716
306.388,-38.9776
306.389,-37.5842
306.406,-41.2581
306.413,-44.0078
306.424,-38.5683
306.436,-38.5471
306.445,-40.6971
306.445,-38.8744
306.452,-39.0517
306.454,-38.3571
306.455,-40.7262
306.455,-38.3262
306.456,-43.7162
306.458,-39.8969
306.461,-38.5818
306.476,-38.701
306.483,-36.0003
306.492,-43.6686
306.5,-43.7265
306.503,-41.0918
306.519,-41.1664
306.523,-39.537
306.528,-42.2395
306.547,-41.5701
306.548,-43.8886
306.549,-43.5662
306.549,-39.3818
306.552,-39.4483
306.56,-40.1042
306.561,-40.8053
306.563,-39.8806
306.567,-40.0954
306.572,-43.7984
306.594,-39.454
306.598,-36.8147
306.602,-40.91
306.615,-38.7251
306.62,-38.7749
306.624,-40.5087
306.625,-44.2226
306.641,-39.4756
306.646,-41.7156
306.658,-37.8834
306.666,-36.7503
306.672,-39.0028
306.674,-40.5592
306.678,-41.8676
306.679,-40.3935
306.689,-39.5848
306.706,-43.9708
306.725,-43.5498
306.734,-38.3551
306.738,-37.0106
306.746,-43.8657
306.76,-40.2478
306.77,-37.3221
306.786,-38.2829
306.787,-37.0957
306.796,-43.5342
306.821,-38.4055
306.825,-39.073
306.826,-38.2831
306.84,-38.7721
306.875,-43.1682
306.88,-43.5461
306.886,-39.1145
306.887,-43.7604
306.906,-36.6679
306.928,-37.7576
306.943,-43.6978
306.952,-43.0025
306.958,-40.2399
306.983,-38.6872
306.985,-39.7821
306.985,-38.0429
306.985,-37.8493
306.988,-41.4745
306.991,-38.5312
