lon,lat
284.284,33.7827
284.318,34.8742
284.319,33.6793
284.399,34.515
284.418,34.2986
284.443,36.0059
284.45,34.1639
284.471,33.8594
284.473,34.6444
284.482,34.3879
284.493,34.7904
284.495,33.5672
284.503,34.1293
284.541,35.2231
284.548,36.0468
284.596,35.1741
284.677,33.6414
284.687,34.1233
284.748,33.3584
284.792,35.9536
284.803,35.2525
284.925,34.8945
285.012,34.8678
285.039,34.1093
285.203,35.3432
285.258,34.9161
285.409,34.4139
285.422,34.8342
285.425,34.3036
285.505,36.0442
285.539,36.0496
285.549,34.9391
285.598,35.4964
285.604,35.185
285.766,36.2809
285.773,35.2631
285.807,35.4108
285.843,35.9539
285.891,35.4553
286.045,36.0331
286.048,36.4453
286.123,35.5198
286.177,35.13
286.192,35.9824
286.192,36.5023
286.209,36.6382
286.228,35.8626
286.235,35.9763
286.261,35.4564
286.356,36.3985
286.38,35.9562
286.408,36.8056
286.445,36.2345
286.48,36.104
286.54,36.1575
286.553,35.8774
286.563,36.0011
286.587,36.4064
286.679,36.6132
286.783,35.9505
286.785,35.9682
286.845,36.3025
286.887,36.0714
286.915,36.9233
286.971,36.4791
287.02,36.7567
287.05,36.1076
287.075,37.1912
287.093,36.9142
287.115,36.2561
287.139,37.1879
287.205,36.6957
287.258,36.2852
287.26,36.3444
287.286,35.7662
287.31,37.132
287.343,36.7111
287.35,36.7836
287.363,36.5106
287.367,36.8444
287.37,37.0284
287.39,36.3499
287.391,36.5812
287.398,36.2763
287.411,36.6985
287.411,36.9295
287.43,36.5923
287.449,36.6724
287.449,36.6829
287.456,36.6286
287.476,36.6684
287.478,36.7269
287.495,36.1414
287.504,36.9173
287.61,36.7758
287.718,37.2468
287.723,36.4629
287.734,35.875
287.741,37.0485
287.744,36.8784
287.803,36.5381
287.81,36.0058
287.812,36.8626
287.839,37.0345
287.855,36.5344
287.872,36.7425
287.902,37.0104
287.99,37.4838
288.036,36.2785
288.053,36.7626
288.108,36.9267
288.117,36.7566
288.13,37.644
288.131,36.4052
288.148,36.3911
288.195,36.0844
288.223,36.4205
288.233,36.9957
288.267,37.2359
288.268,37.2914
288.275,36.9933
288.302,36.8957
288.327,37.1622
288.334,37.1327
288.336,37.2599
288.366,36.8072
288.406,37.1412
288.428,37.5953
288.454,36.8977
288.483,36.823
288.599,36.852
288.643,37.5345
288.7,36.5073
288.706,36.8114
288.71,37.5421
288.754,37.1269
288.811,36.8119
288.894,37.6902
288.921,37.1119
288.923,37.2797
288.94,37.0898
288.956,36.437
288.979,37.987
289.033,38.0968
289.058,37.6879
289.072,37.0048
289.089,37.5908
289.114,36.4533
289.132,37.2134
289.147,36.8437
289.217,36.8536
289.228,37.7991
289.345,38.0892
289.399,37.0864
289.41,37.3921
289.457,37.2563
289.636,38.0256
289.687,37.1334
289.879,37.487
290.027,37.314
290.05,37.745
290.054,37.8517
290.067,36.9575
290.089,37.4403
290.152,37.3459
290.195,37.0786
290.235,37.5102
290.288,37.9516
290.331,36.9216
290.355,37.6681
290.474,36.7692
290.526,37.7389
290.611,37.6892
290.728,37.8008
290.73,38.0918
290.778,37.8631
290.811,37.9403
290.844,37.5329
290.866,37.1489
290.873,38.1384
290.898,37.3293
290.921,37.1283
290.942,38.2046
290.972,37.9096
291.024,37.6117
291.083,38.0425
291.087,38.3226
291.105,38.2228
291.108,37.3579
291.121,37.6363
291.121,38.4232
291.122,38.2559
291.141,37.1532
291.193,38.2678
291.228,37.9705
291.237,37.1888
291.261,37.6278
291.316,37.8896
291.404,37.1639
291.423,38.3734
291.447,37.8764
291.448,37.583
291.496,38.3879
291.506,37.2603
291.542,38.4436
291.556,37.8996
291.614,38.107
291.621,37.7862
291.645,37.7822
291.688,37.1487
291.701,37.7426
291.722,38.4038
291.728,38.0342
291.8,37.3001
291.801,38.2238
291.83,37.7405
291.831,38.4734
291.834,37.6273
291.886,38.4141
291.901,37.8608
291.916,37.1687
291.919,37.6669
291.927,38.3384
291.964,38.2029
292.017,38.185
292.037,38.3997
292.096,37.5835
292.116,37.942
292.212,38.1565
292.237,38.2579
292.302,38.1887
292.343,37.0306
292.41,38.3672
292.427,37.6724
292.459,37.5272
292.52,37.9275
292.594,38.4962
292.622,37.6228
292.63,37.9936
292.658,37.4547
292.685,37.5053
292.736,38.3663
292.797,37.5432
292.83,38.1345
292.841,38.0379
292.844,37.3197
292.864,38.4611
292.947,37.8795
293.064,37.9367
293.073,37.8526
293.216,37.2768
293.29,37.933
293.369,37.8853
293.392,37.9982
293.603,37.8359
293.653,38.2691
293.662,37.7062
293.668,37.2
293.712,37.6169
293.736,37.4891
293.827,37.9892
293.902,37.9672
293.908,37.0324
293.917,38.2207
293.973,38.2818
293.98,38.5331
294.039,38.6222
294.094,38.7137
294.1,38.4277
294.124,37.9401
294.211,38.0097
294.222,38.5352
294.229,37.589
294.244,37.217
294.311,38.5591
294.313,38.2286
294.316,37.4169
294.445,37.5277
294.591,37.5746
294.604,38.0497
294.611,38.1605
294.645,38.2793
294.659,38.416
294.662,38.0479
294.666,38.7248
294.692,37.275
294.721,38.4169
294.73,38.2403
294.733,37.7988
294.842,37.936
294.866,37.7021
294.873,38.2977
294.956,38.2209
294.992,37.7191
294.996,38.6309
294.999,38.3917
295.001,38.2711
295.024,38.9598
